NA,547786,Adršpach,506,"44,3",-5%,379,5,535,-5%,366,5,"7,7",445,5,64,126,229,3,19 597 Kč,24 190 Kč,12 240 074 Kč,13,1,14,"0,02766798419",260,3,"1,866666667",125,2,260,"3,43",SLABÉ,,,
RK,576077,Albrechtice nad Orlicí,1 003,"43,9",-4%,358,4,1012,-1%,315,4,"0,2",32,1,109,109,340,4,11 014 Kč,13 276 Kč,13 316 094 Kč,404,5,20,"0,01994017946",339,4,"1,466666667",68,1,265,"3,29",SLABÉ,,,
HK,569828,Babice,191,"44,8",-7%,403,5,216,-12%,409,5,"5,1",433,5,22,115,295,4,12 190 Kč,13 591 Kč,2 595 963 Kč,388,5,8,"0,04188481675",142,2,3,279,4,336,"4,29",VELMI SLABÉ,,,
JC,553701,Bačalky,161,"45,6",-8%,417,5,173,-7%,377,5,"4,9",425,5,16,99,386,5,14 901 Kč,16 161 Kč,2 601 885 Kč,147,2,3,"0,01863354037",349,4,"3,933333333",409,5,359,"4,43",VELMI SLABÉ,,,
RK,576085,Bačetín,395,"42,5",-1%,252,3,382,3%,272,4,"0,0",1,1,46,116,288,4,12 319 Kč,14 877 Kč,5 876 500 Kč,269,3,16,"0,04050632911",154,2,"2,666666667",234,3,210,"2,86",PRŮMĚRNÉ,,,
HK,569836,Barchov,310,"39,9",5%,64,1,277,12%,197,3,"3,2",360,5,36,116,291,4,11 840 Kč,13 837 Kč,4 289 322 Kč,371,5,17,"0,05483870968",89,1,"2,933333333",270,4,235,"3,29",PRŮMĚRNÉ,,,
RK,576093,Bartošovice v Orlických horách,199,"40,5",4%,99,2,219,-9%,398,5,"1,4",133,2,35,176,37,1,23 731 Kč,30 737 Kč,6 116 661 Kč,8,1,8,"0,04020100503",158,2,"2,266666667",191,3,146,"2,29",VELMI SILNÉ,,,
JC,572667,Bašnice,208,"43,3",-3%,317,4,209,0%,310,4,"0,7",58,1,25,120,271,4,14 825 Kč,16 794 Kč,3 493 251 Kč,107,2,4,"0,01923076923",343,4,"3,866666667",402,5,258,"3,43",SLABÉ,,,
TU,579041,Batňovice,764,"42,4",-1%,246,3,675,13%,185,3,"2,0",224,3,116,152,93,2,11 834 Kč,13 972 Kč,10 674 470 Kč,353,4,45,"0,05890052356",80,1,"1,666666667",94,1,182,"2,43",SILNÉ,,,
JC,572675,Běchary,281,"39,5",6%,41,1,224,25%,91,2,"2,6",313,4,22,78,431,5,16 319 Kč,19 539 Kč,5 490 330 Kč,33,1,1,"0,003558718861",437,5,"2,333333333",203,3,221,"3,00",PRŮMĚRNÉ,,,
