IZO,RED_MÍSTO,REDIZO,OBOR,OBOR_NAZ,FORMA
    062690035,Hradec Králové,600011658,36-45-M/01,Technická zařízení budov,denní
    062690035,Hradec Králové,600011658,36-46-M/01,Geodézie a katastr nemovitostí,denní
    062690035,Hradec Králové,600011658,36-47-M/01,Stavebnictví,denní
    062690035,Hradec Králové,600011658,78-42-M/01,Technické lyceum,denní
    062690043,Hradec Králové,600011666,79-41-K/61,Gymnázium,denní
    062690060,Hradec Králové,600011674,79-41-K/41,Gymnázium,denní
    062690221,Nový Bydžov,600011682,63-41-M/01,Ekonomika a podnikání,denní
    062690221,Nový Bydžov,600011682,79-41-K/41,Gymnázium,denní
    062690221,Nový Bydžov,600011682,79-41-K/61,Gymnázium,denní
    000527939,Hradec Králové,600011712,29-53-H/01,Pekař,denní
    000527939,Hradec Králové,600011712,29-54-H/01,Cukrář,denní
    000527939,Hradec Králové,600011712,34-56-L/01,Fotograf,denní
    000527939,Hradec Králové,600011712,41-52-H/01,Zahradník,denní
    000527939,Hradec Králové,600011712,63-41-M/01,Ekonomika a podnikání,denní
    000527939,Hradec Králové,600011712,64-41-L/51,Podnikání,denní
    000527939,Hradec Králové,600011712,64-41-L/51,Podnikání,dálkové
    000527939,Hradec Králové,600011712,65-42-M/01,Hotelnictví,denní
    000527939,Hradec Králové,600011712,65-51-H/01,Kuchař - číšník,denní
    000527939,Hradec Králové,600011712,66-51-H/01,Prodavač,denní
    000527939,Hradec Králové,600011712,66-52-H/01,Aranžér,denní
    000527939,Hradec Králové,600011712,69-41-L/01,Kosmetické služby,denní
    000527939,Hradec Králové,600011712,69-51-H/01,Kadeřník,denní
    062690272,Hradec Králové,600011739,63-41-M/02,Obchodní akademie,denní
    062690272,Hradec Králové,600011739,63-41-M/02,Obchodní akademie,dálkové
    062690272,Hradec Králové,600011739,68-43-M/01,Veřejnosprávní činnost,denní
    062690272,Hradec Králové,600011739,75-41-M/01,Sociální činnost,denní
    062690272,Hradec Králové,600011739,75-41-M/01,Sociální činnost,dálkové
    062690272,Hradec Králové,600011739,78-42-M/02,Ekonomické lyceum,denní
    110100867,Hradec Králové,600011747,33-42-L/51,Nábytkářská a dřevařská výroba,denní
    110100867,Hradec Králové,600011747,33-42-M/01,Nábytkářská a dřevařská výroba,denní
    110100867,Hradec Králové,600011747,33-56-H/01,Truhlář,denní
    110100867,Hradec Králové,600011747,82-41-M/04,Průmyslový design,denní
    110100867,Hradec Králové,600011747,82-41-M/11,Design interiéru,denní
    110100867,Hradec Králové,600011747,82-51-H/02,Umělecký truhlář a řezbář,denní
    110100867,Hradec Králové,600011747,82-51-L/02,Uměleckořemeslné zpracování dřeva,denní
    110100867,Hradec Králové,600011747,82-51-L/06,Uměleckořemeslná stavba hudebních nástrojů,denní
    000087751,Nový Bydžov,600011763,23-43-L/51,Provozní technika,denní
    000087751,Nový Bydžov,600011763,23-45-M/01,Dopravní prostředky,denní
    000087751,Nový Bydžov,600011763,23-68-H/01,Mechanik opravář motorových vozidel,denní
    000087751,Nový Bydžov,600011763,26-51-H/02,Elektrikář - silnoproud,denní
    000087751,Nový Bydžov,600011763,26-57-H/01,Autoelektrikář,denní
    000087751,Nový Bydžov,600011763,29-41-L/51,Technologie potravin,denní
    000087751,Nový Bydžov,600011763,29-54-H/01,Cukrář,denní
    000087751,Nový Bydžov,600011763,29-56-H/01,Řezník - uzenář,denní
    000087751,Nový Bydžov,600011763,41-55-H/01,Opravář zemědělských strojů,denní
    000087751,Nový Bydžov,600011763,65-51-H/01,Kuchař - číšník,denní
    108007863,Hradec Králové,600011801,43-41-M/01,Veterinářství,denní
    015062848,Hradec Králové,600011828,16-02-M/01,Průmyslová ekologie,denní
    015062848,Hradec Králové,600011828,18-20-M/01,Informační technologie,denní
    015062848,Hradec Králové,600011828,23-41-M/01,Strojírenství,denní
    015062848,Hradec Králové,600011828,23-43-L/51,Provozní technika,denní
    015062848,Hradec Králové,600011828,23-43-L/51,Provozní technika,dálkové
    015062848,Hradec Králové,600011828,23-44-L/01,Mechanik strojů a zařízení,denní
    015062848,Hradec Králové,600011828,23-45-L/01,Mechanik seřizovač,denní
    015062848,Hradec Králové,600011828,23-51-H/01,Strojní mechanik,denní
    015062848,Hradec Králové,600011828,23-52-H/01,Nástrojař,denní
    015062848,Hradec Králové,600011828,23-55-H/02,Karosář,denní
    015062848,Hradec Králové,600011828,23-56-H/01,Obráběč kovů,denní
    015062848,Hradec Králové,600011828,26-41-L/01,Mechanik elektrotechnik,denní
    015062848,Hradec Králové,600011828,26-41-L/52,Provozní elektrotechnika,denní
    015062848,Hradec Králové,600011828,26-41-L/52,Provozní elektrotechnika,dálkové
    015062848,Hradec Králové,600011828,26-41-M/01,Elektrotechnika,denní
    015062848,Hradec Králové,600011828,26-51-H/01,Elektrikář,denní
