Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    049290274,Střední škola,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    181066751,Středisko volného času,Janské Lázně,Obchodní 282,,,
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    110029585,Internát,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    108026779,Speciálně pedagogické centrum,Janské Lázně,Obchodní,282,,Janské Lázně
1,600024687,49290274,"Obchodní akademie, odborná škola a praktická škola Olgy Havlové, Janské Lázně",Janské Lázně,Obchodní,282,,Janské Lázně,    102918708,Školní jídelna,Janské Lázně,Obchodní,282,,Janské Lázně
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    110035356,Základní škola,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    062690001,Diagnostický ústav,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    110029364,Středisko výchovné péče,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029611,62690001,"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277",Hradec Králové,Říčařova,277,10,Plotiště nad Labem,    102754748,Školní jídelna,Hradec Králové,Říčařova,277,10,Plotiště nad Labem
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    110013662,Základní škola,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    181030438,Stanice zájmových činností,Malá Úpa,,21,,Dolní Malá Úpa
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    060884754,Dětský domov se školou,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029778,60884754,"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7",Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí,    181004798,Školní jídelna,Kostelec nad Orlicí,Tyršova,7,,Kostelec nad Orlicí
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    110013638,Střední škola,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    060153385,Výchovný ústav,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    181075504,Středisko výchovné péče,Hostinné,B. Smetany,474,,Hostinné
1,600029867,60153385,"Výchovný ústav, střední škola a středisko výchovné péče, Hostinné",Hostinné,B. Smetany,474,,Hostinné,    110013646,Školní jídelna,Hostinné,B. Smetany,474,,Hostinné
1,600029883,62048660,"Výchovný ústav Husův domov a školní jídelna, Dvůr Králové nad Labem, Vrchlického 700",Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem,    043463487,Výchovný ústav,Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem
1,600029883,62048660,"Výchovný ústav Husův domov a školní jídelna, Dvůr Králové nad Labem, Vrchlického 700",Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem,    150056001,Školní jídelna,Dvůr Králové nad Labem,Vrchlického,700,,Dvůr Králové nad Labem
