Okres,ORP,Obec,Název organizace,IČO,Adresa,Telefon
HK,HK,Hradec Králové,"Střední průmyslová škola stavební, Hradec Králové, Pospíšilova tř. 787",62690035,"Pospíšilova 787/11, 500 03 Hradec Králové",495766111
HK,HK,Hradec Králové,"Gymnázium Boženy Němcové, Hradec Králové, Pospíšilova tř. 324",62690043,"Pospíšilova 324/7, 500 03 Hradec Králové",495514691
HK,HK,Hradec Králové,"Gymnázium J. K. Tyla, Hradec Králové, Tylovo nábř. 682",62690060,"Tylovo nábřeží 682/12, 500 02 Hradec Králové",702292424
HK,HK,Hradec Králové,"Střední škola služeb, obchodu a gastronomie",527939,"Velká 3/64, Pouchov, 503 41 Hradec Králové",495212860
HK,HK,Hradec Králové,"Obchodní akademie, Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky, Hradec Králové",62690272,"Pospíšilova 365/9, 500 03 Hradec Králové",495514801
HK,HK,Hradec Králové,"Střední uměleckoprůmyslová škola hudebních nástrojů a nábytku, Hradec Králové, 17. listopadu 1202",145238,"17. listopadu 1202/1, 500 03 Hradec Králové",494946034
HK,HK,Hradec Králové,"Střední odborná škola veterinární, Hradec Králové-Kukleny, Pražská 68",62690281,"Pražská třída 68/18, Kukleny, 500 04 Hradec Králové",495535386
HK,HK,Hradec Králové,"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, Hradec Králové",15062848,"Hradební 1029/2, 500 03 Hradec Králové",495511518
HK,HK,Hradec Králové,"Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Hradec Králové, Komenského 234",581101,"Komenského 234/6, 500 03 Hradec Králové",495075111
HK,HK,Hradec Králové,"Základní škola a Mateřská škola při Fakultní nemocnici, Hradec Králové, Sokolská 581",70837554,"Sokolská 581, Nový Hradec Králové, 500 03 Hradec Králové",495832407
HK,HK,Hradec Králové,"Mateřská škola, Speciální základní škola a Praktická škola, Hradec Králové",62693514,"Hradecká 1231/11b, 500 03 Hradec Králové",495514814
HK,HK,Hradec Králové,"Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549",62690361,"Štefánikova 549/27, Moravské Předměstí, 500 11 Hradec Králové",495272394
HK,HK,Hradec Králové,"Střední škola profesní přípravy, Hradec Králové",62690400,"17. listopadu 1212/2, 500 03 Hradec Králové",495000666
HK,HK,Hradec Králové,"Domov mládeže, internát a školní jídelna, Hradec Králové, Vocelova 1469/5",528315,"Vocelova 1469/5, Pražské Předměstí, 500 02 Hradec Králové",495540060
HK,HK,Hradec Králové,"Školní jídelna, Hradec Králové, Hradecká 1219",49335499,"Hradecká 1219/11a, 500 03 Hradec Králové",495511046
HK,HK,Hradec Králové,"Školské zařízení pro další vzdělávání pedagogických pracovníků Královéhradeckého kraje, Hradec Králové, Štefánikova 566",62731882,"Štefánikova 566/26, Moravské Předměstí, 500 11 Hradec Králové",495514804
HK,HK,Hradec Králové,"Střední odborná škola a Střední odborné učiliště, Hradec Králové, Vocelova 1338",175790,"Vocelova 1338/2, Pražské Předměstí, 500 02 Hradec Králové",495212861
HK,HK,Hradec Králové,Pedagogicko-psychologická poradna a Speciálně pedagogické centrum Královéhradeckého kraje,72049103,"Na Okrouhlíku 1371/30, Pražské Předměstí, 500 02 Hradec Králové",495265583
HK,HK,Nechanice,"Dětský domov a školní jídelna, Nechanice, Hrádecká 267",62690540,"Hrádecká 267, 503 15 Nechanice",495441213
HK,NB,Nový Bydžov,"Gymnázium, Střední odborná škola a Vyšší odborná škola, Nový Bydžov",62690221,"Komenského 77, 504 01 Nový Bydžov",495490377
HK,NB,Nový Bydžov,"Střední škola technická a řemeslná, Nový Bydžov, Dr. M. Tyrše 112",87751,"Dr. M. Tyrše 112, 504 01 Nový Bydžov",495490328
HK,NB,Nový Bydžov,"Základní škola, Nový Bydžov, F. Palackého 1240",70837538,"F. Palackého 1240, 504 01 Nový Bydžov",495490318
JC,HO,Hořice,"Střední průmyslová škola kamenická a sochařská, Hořice, Husova 675",60116871,"Husova 675, 508 01 Hořice",493623226
JC,HO,Hořice,"Střední škola řemesel a Základní škola, Hořice",87998,"Havlíčkova 54, 508 01 Hořice",493623121
JC,HO,Hořice,"Zemědělská akademie a Gymnázium Hořice - střední škola a vyšší odborná škola, příspěvková organizace",6668364,"Riegrova 1403, 508 01 Hořice",493623821
JC,JC,Jičín,"Lepařovo gymnázium, Jičín, Jiráskova 30",60116781,"Jiráskova 30, Holínské Předměstí, 506 01 Jičín",493533005
