WKT,OBJECTID,CRZ,OZNACNIK1,OZNACNIK2,CRZ_OZNACN,"TARIF_NAZE,C,250"
POINT (16.0615506894965 50.1443117185118),1,59,1,1,5901,Albrechtice n.Orl.-nákupní středisko
POINT (16.0618313476414 50.1442223310093),2,59,2,2,5902,Albrechtice n.Orl.-nákupní středisko
POINT (16.0397611171673 50.1380047673676),3,60,1,1,6001,Albrechtice n.Orl.-odb.Vys.Chvojno
POINT (16.0398469599364 50.1380355883093),4,60,2,2,6002,Albrechtice n.Orl.-odb.Vys.Chvojno
POINT (16.0633678107035 50.1400207746239),5,61,1,1,6101,Albrechtice n.Orl.-pošta
POINT (16.0636409513049 50.1400660671496),6,61,2,2,6102,Albrechtice n.Orl.-pošta
POINT (16.0562979940627 50.143061784179),7,62,1,1,6201,Albrechtice n.Orl.-u lesa
POINT (16.0561922730823 50.1429292584496),8,62,2,2,6202,Albrechtice n.Orl.-u lesa
POINT (16.6446000073002 49.9328000046319),9,52,1,1,5201,Albrechtice-bytovky
POINT (16.6446000073002 49.9328000046319),10,52,2,2,5202,Albrechtice-bytovky
POINT (16.6429000070989 49.9369000045891),11,53,1,1,5301,Albrechtice-hor.konec
POINT (16.6429000070989 49.9369000045891),12,53,2,2,5302,Albrechtice-hor.konec
POINT (16.6415000072242 49.9207000047942),13,54,1,1,5401,Albrechtice-křiž.
POINT (16.6415000072242 49.9207000047942),14,54,2,2,5402,Albrechtice-křiž.
POINT (16.643800007701 49.9255000044344),15,55,1,1,5501,Albrechtice-ObÚ
POINT (16.643800007701 49.9255000044344),16,55,2,2,5502,Albrechtice-ObÚ
POINT (16.6601000081815 49.9309000047826),17,56,1,1,5601,Albrechtice-ozdravovna
POINT (16.6601000081815 49.9309000047826),18,56,2,2,5602,Albrechtice-ozdravovna
POINT (16.6439000077124 49.9226000041971),19,57,1,1,5701,Albrechtice-u splavu
POINT (16.6439000077124 49.9226000041971),20,57,2,2,5702,Albrechtice-u splavu
POINT (16.5413000069631 49.8506000042586),21,119,1,1,11901,Anenská Studánka-Domov důchodců
POINT (16.5413000069631 49.8506000042586),22,119,2,2,11902,Anenská Studánka-Domov důchodců
POINT (16.5474000071443 49.8291000041517),23,26969,1,1,2696901,Anenská Studánka-Helvíkov
POINT (16.5474000071443 49.8291000041517),24,26969,2,2,2696902,Anenská Studánka-Helvíkov
POINT (16.5390000076798 49.8491000041679),25,120,1,1,12001,Anenská Studánka-křiž.
POINT (16.5390000076798 49.8491000041679),26,120,2,2,12002,Anenská Studánka-křiž.
POINT (16.5529000080839 49.8511000045886),27,121,1,1,12101,Anenská Studánka-žel.zast.
POINT (16.5529000080839 49.8511000045886),28,121,2,2,12102,Anenská Studánka-žel.zast.
POINT (16.2354374318315 50.3001601936591),29,243,1,1,24301,Bačetín
POINT (16.2351868821379 50.3002815883902),30,243,2,2,24302,Bačetín
POINT (16.2209564858344 50.2988165029679),31,244,1,1,24401,Bačetín-Brtva
POINT (16.2209558287484 50.2989058888688),32,244,2,2,24402,Bačetín-Brtva
POINT (16.240022807303 50.2964617049427),33,245,1,1,24501,Bačetín-odb.Sudín
POINT (16.2398742399861 50.2965619792505),34,245,2,2,24502,Bačetín-odb.Sudín
POINT (16.2467873133301 50.2963581493498),35,247,1,1,24701,"Bačetín,Sudín,mléčná farma"
POINT (16.2469378070442 50.2964631047621),36,247,2,2,24702,"Bačetín,Sudín,mléčná farma"
POINT (16.527990154628 50.1685568413886),37,528,1,1,52801,Bartošovice v Orl.h.-horní
POINT (16.5281163516071 50.1686316598598),38,528,2,2,52802,Bartošovice v Orl.h.-horní
POINT (16.5474379879043 50.1639845419579),39,530,1,1,53001,Bartošovice v Orl.h.-Obecní úřad
POINT (16.5479868184676 50.1641435958127),40,530,2,2,53002,Bartošovice v Orl.h.-Obecní úřad
POINT (16.5541204848191 50.1946572709217),41,531,1,1,53101,"Bartošovice v Orl.h.,Malá Strana"
POINT (16.5540158555017 50.1946429345011),42,531,2,2,53102,"Bartošovice v Orl.h.,Malá Strana"
POINT (16.5519111553517 50.2143732238262),43,532,1,1,53201,"Bartošovice v Orl.h.,Neratov"
POINT (16.5517231414167 50.2143541240156),44,532,2,2,53202,"Bartošovice v Orl.h.,Neratov"
POINT (16.5121974680287 50.2414544753872),45,533,1,1,53301,"Bartošovice v Orl.h.,Nová Ves"
POINT (16.5121785942704 50.2413743805464),46,533,2,2,53302,"Bartošovice v Orl.h.,Nová Ves"
POINT (16.5244510393943 50.2373002743904),47,534,1,1,53401,"Bartošovice v Orl.h.,Nová Ves,ch.Orlice"
POINT (16.5243835152887 50.2372163453504),48,534,2,2,53402,"Bartošovice v Orl.h.,Nová Ves,ch.Orlice"
POINT (16.5189530078235 50.2399180048853),49,535,1,1,53501,"Bartošovice v Orl.h.,Nová Ves,kaple"
POINT (16.5189024652533 50.2398515964363),50,535,2,2,53502,"Bartošovice v Orl.h.,Nová Ves,kaple"
POINT (16.5424319355672 50.2314265743991),51,536,1,1,53601,"Bartošovice v Orl.h.,Podlesí"
POINT (16.5423326869135 50.2313959863879),52,536,2,2,53602,"Bartošovice v Orl.h.,Podlesí"
POINT (16.5540795813766 50.1817110540268),53,537,1,1,53701,"Bartošovice v Orl.h.,Vrch.Orlice"
POINT (16.553986557434 50.181756458427),54,537,2,2,53702,"Bartošovice v Orl.h.,Vrch.Orlice"
POINT (16.2117000077921 50.0186000044752),55,11597,1,1,1159701,Běstovice
POINT (16.2117000077921 50.0186000044752),56,11597,2,2,1159702,Běstovice
POINT (16.2145000077871 50.0131000050765),57,11598,1,1,1159801,Běstovice-záv.
POINT (16.2145000077871 50.0131000050765),58,11598,2,2,1159802,Běstovice-záv.
POINT (16.2253000075981 50.2398000048244),59,1376,1,1,137601,Bílý Újezd
POINT (16.2257000071602 50.2386000049441),60,1376,2,2,137602,Bílý Újezd
POINT (16.2054334332653 50.232687492746),61,1378,1,1,137801,"Bílý Újezd,Hroška"
POINT (16.2053074763798 50.2324914603577),62,1378,2,2,137802,"Bílý Újezd,Hroška"
POINT (16.2308953078202 50.2510344053157),63,1377,1,1,137701,"Bílý Újezd,Masty"
