číslo úseku,TYP KOMUNIKACE - KÓDY,staničení od,staničení do,délka,komunikace,z,do,stavební stav,STAVEBNÍ STAV - KÓDY,POVRCH - KÓDY,vlastnické vztahy,doporučená opatření,investiční náklady,1000 Kč / km,DOTACE,info - dotace
1,4,"0,000","2,760",2 760,III/279 26,Pleskotský Mlýn,Libošovice,špatný – zpevněný,2,1,Královéhradecký kraj,"oprava krytu, svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",5 520,2000,,
2,4,"2,760","7,350",4 590,III/281 2,Libošovice,Mladějov,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",230,50,,
3,4,"7,350","7,970",620,II/281,Mladějov,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",40,50,,
4,4,"7,970","11,110",3 140,III/281 3,Mladějov,Blata,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",160,50,,
5,3,"11,110","13,210",2 100,MK,Blata,Pařezská Lhota,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,60,25,,
6,4,"13,210","13,980",770,III/281 6,Pařezská Lhota,Holín,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",40,50,,
7,4,"13,980","17,500",3 520,III/281 8,Holín,Jinolice,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",180,50,1,"dotace na PD, 18RRDU2-0003, Jičín ????????"
8,5,"17,500","17,780",280,stezka podél I/35,Jinolice,Dolní Podůlší,orná/travní porost,2,2,soukromé pozemky,novostavba stezky,1 120,4000,1,"dotace na PD, 18RRDU2-0003, Jičín"
9,5,"17,780","17,840",60,podchod pod I/35,Dolní Podůlší,,silnice I/35,2,1,ČR–ŘSD a soukromé pozemky,novostavba podchodu,9 000,150000,1,"dotace na PD, 18RRDU2-0003, Jičín"
10,4,"17,840","17,990",150,III/286 7,Dolní Podůlší,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,1,"dotace na PD, 18RRDU2-0003, Jičín"
11,3,"17,990","18,550",560,ÚK,Dolní Podůlší,,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,2 240,4000,1,"dotace na PD, 18RRDU2-0003, Jičín"
12,5,"18,550","19,400",850,stezka,Dolní Podůlší,Dílce,nezpevněný povrch,2,2,obecní pozemky,novostavba stezky,1 700,2000,1,"dotace na PD, 18RRDU2-0003, Jičín"
13,4,"19,400","20,420",1 020,III/035 22,Dílce,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",60,50,1,"dotace na PD, 18RRDU2-0003, Jičín"
14,5,"20,420","21,640",1 220,stezka,Dílce,Kbelnice,nezpevněný povrch,2,2,obecní pozemky,novostavba stezky,4 880,4000,1,"dotace na PD, 18RRDU2-0003, Jičín"
15,4,"21,640","22,000",360,III/035 24,Kbelnice,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",20,50,1,"dotace na PD, 18RRDU2-0003, Jičín"
16,5,"22,000","23,310",1 310,stezka,Kbelnice,Jičín,nezpevněný povrch,2,2,obecní pozemky,novostavba stezky,5 240,4000,1,"dotace na PD, 18RRDU2-0003, Jičín"
17,3,"23,310","23,450",140,MK,Jičín,ul. Jarošov,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
18,2,"23,450","23,590",140,stezka,Jičín,u koupaliště,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
19,3,"23,590","23,870",280,MK,Jičín,ul. Máchova,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
20,2,"23,870","24,600",730,stezka,Jičín,Kollárova > Raisova,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,20,25,,
21,5,"24,600","24,620",20,lávka,Jičín,lávka přes Cidlinu,řeka Cidlina,2,,investiční akce Města Jičín,novostavba lávky,3 000,150000,1,"dotace na PD, 18RRDU2-0003, Jičín"
22,5,"24,620","24,690",70,stezka,Jičín,lávka přes Cidlinu > ul. Ruská,nezpevněný povrch,2,,investiční akce Města Jičín,novostavba stezky,280,4000,1,"dotace na PD, 18RRDU2-0003, Jičín"
23,3,"24,690","24,890",200,MK,Jičín,nábř. Kpt. Jaroše,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,2,"dotace na stavbu, 18RRDU2-0001, Jičín"
24,2,"24,890","25,340",450,stezka,Jičín,nábř. Kpt. Jaroše > Kaufland,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,20,25,,
25,2,"25,340","26,640",1 300,stezka,Jičín,Popovická,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,40,25,,
26,4,"26,640","26,690",50,III/328 40,Jičín,železniční přejezd Popovická,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,1,"doatce na PD, 18RRDU2-0005 + dotace na stavbu, 18RRDU2-0007, Jičín"
27,2,"26,690","27,410",720,stezka,Jičín,Popovice,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,20,25,,
28,4,"27,410","28,290",880,III/328 40,Popovice,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",50,50,1,"dotace na PD, 18RRDU2-0003, Jičín"
29,4,"28,290","31,690",3 400,III/328 46,Popovice,Tuř,špatný – zpevněný,2,1,Královéhradecký kraj,"oprava krytu, svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",6 800,2000,1,"dotace na PD, 18RRDU2-0003, Jičín (výstavba přes Popovice - Vitiněves - Hubálov - Tuř)"
30,4,"31,690","33,010",1 320,III/328 42,Tuř,Butoves,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",70,50,,
31,4,"33,010","34,930",1 920,III/328 34,Butoves,křiž. III/327 57,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",100,50,,
32,4,"34,930","37,020",2 090,III/327 57,křiž. III/328 34,Třtěnice,špatný – zpevněný,2,1,Královéhradecký kraj,"oprava krytu, svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",4 180,2000,,
33,4,"37,020","37,220",200,III/327 56,Třtěnice,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
34,4,"37,220","39,740",2 520,III/327 54,Třtěnice,Chomutice,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",5 040,2000,,
35,4,"39,740","40,000",260,II/327,Chomutice,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",20,50,,
36,4,"40,000","40,820",820,III/327 49,Chomutice,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",50,50,,
37,4,"40,820","44,530",3 710,III/280 47,Chomutice,Ohnišťany,špatný – zpevněný,2,1,Královéhradecký kraj,"oprava krytu, svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",7 420,2000,,
38,4,"44,530","46,830",2 300,III/280 51,Ohnišťany,Šaplava,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",120,50,,
39,4,"46,830","47,330",500,II/280,Šaplava,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",30,50,,
40,4,"47,330","49,530",2 200,III/280 52,Šaplava,Myštěves,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",110,50,,
41,4,"49,530","49,620",90,II/326,Myštěves,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
42,4,"49,620","53,100",3 480,III/326 3,Myštěves,Petrovice,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",180,50,,
43,4,"53,100","55,420",2 320,III/323 38,Petrovice,Lodín,špatný – zpevněný,2,1,Královéhradecký kraj,"oprava krytu, svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",4 640,2000,,
44,4,"55,420","55,750",330,III/323 37,Lodín,,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",20,50,,
45,4,"55,750","57,780",2 030,III/326 36,Lodín,křiž. II/323,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",110,50,,
