,návaznost,linka,spoj,dopravce,tč,příjezd,čeká,odjezd,zastávka,vyčká (min),typ,linka ,spoj ,dopravce ,z/doZast,nav.čas,časDoSetkání (min),typ výstupu
62,navazuje,610002,3,"508/1 CAR - TOUR spol. s r.o., Pohřebačka 182, 533 45 Opatovice nad Labem, Pohřebačka 182, 533 45 Opatovice nad Labem",22,14:25,,14:25,"Jičín,aut.st.",,A,630002,3,"508/1 CAR - TOUR spol. s r.o., Pohřebačka 182, 533 45 Opatovice nad Labem, Pohřebačka 182, 533 45 Opatovice nad Labem","Mladá Boleslav,,Aut.st. (přímý vůz)",14:35,10,Tisk na JŘ+převod do strojků USVC
63,navazuje,610010,13,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",22,18:02,,18:02,"Hořiněves,hospoda u Šáfrů",,A,610210,1,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. (přímý vůz)",18:03,1,Tisk na JŘ+převod do strojků USVC
78,navazuje,610030,31,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",16,15:25,,15:25,"Nechanice,nám.",,A,610050,14,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Hradec Králové,,Terminál HD (přímý vůz)",15:30,5,Tisk na JŘ+převod do strojků USVC
81,navazuje,610030,10,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",20,11:19,,11:19,"Měník,Libeň",,A,610030,7,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Nový Bydžov,,Terminál (přímý vůz)",11:19,0,Tisk na JŘ+převod do strojků USVC
92,navazuje,610040,7,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",12,6:59,,6:59,"Nechanice,nám.",,A,610050,20,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Boharyně (přímý vůz),7:00,1,Tisk na JŘ+převod do strojků USVC
94,navazuje,610050,19,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",26,6:39,,6:39,Boharyně,,A,610050,6,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Hradec Králové,,Terminál HD (přímý vůz)",6:40,1,Tisk na JŘ+převod do strojků USVC
99,navazuje,610050,20,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",26,7:08,,7:08,Boharyně,,A,610161,5,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Kosiček (přímý vůz),7:08,0,Tisk na JŘ+převod do strojků USVC
101,navazuje,610061,8,"559/1 AP Tour - dopravní spol. s r.o., Humburky 1, 504 01 Nový Bydžov, Humburky 1, 504 01 Nový Bydžov",32,7:13,,7:13,"Měník,Barchůvek,st.statek",,A,610061,7,"559/1 AP Tour - dopravní spol. s r.o., Humburky 1, 504 01 Nový Bydžov, Humburky 1, 504 01 Nový Bydžov","Nový Bydžov,,Terminál (přímý vůz)",7:13,0,Tisk na JŘ+převod do strojků USVC
141,navazuje,610160,3,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",23,8:48,,8:48,"Nechanice,nám.",,A,610050,10,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Puchlovic (přímý vůz),8:50,2,Tisk na JŘ+převod do strojků USVC
143,navazuje,610161,5,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",27,7:18,,7:18,Kosičky,,A,610550,9,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Chlumec nad Cidlinou,,žel.st. (přímý vůz)",7:18,0,Tisk na JŘ+převod do strojků USVC
