kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
101233,Špindlerovská jedle,Jednotlivý strom,1,1,Trutnov,18.02.2005,,Správa KRNAP
101234,Třešeň v Horním Lánově,Jednotlivý strom,1,1,Trutnov,09.12.2004,,Správa KRNAP
101235,Vrba v Černém Dole,Jednotlivý strom,1,1,Trutnov,05.01.2005,,Správa KRNAP
101236,Lípa srdčitá č. 2,Jednotlivý strom,1,1,Trutnov,15.05.2004,,MÚ Trutnov
101237,Lípa srdčitá č. 1,Jednotlivý strom,1,1,Trutnov,15.05.2004,,MÚ Trutnov
101238,Dub letní,Jednotlivý strom,1,1,Trutnov,11.05.2004,,MÚ Trutnov
101239,Smrk ztepilý,Jednotlivý strom,1,1,Trutnov,08.05.2004,,Správa KRNAP
101240,"Lípa u ""dřevěnky"" v Dolním Lánově",Jednotlivý strom,1,1,Trutnov,18.02.2004,,MÚ Vrchlabí
101241,Duby v Čisté v Krkonoších,Skupina stromů,2,2,Trutnov,15.01.2004,,Správa KRNAP
101242,Jasan ve Volském Dole,Jednotlivý strom,1,1,Trutnov,20.12.1979,,Správa KRNAP
101243,Lípa u Poštovní cesty v Horním Lánově,Jednotlivý strom,1,1,Trutnov,06.11.2003,,Správa KRNAP
101244,Jedlovec kanadský,Jednotlivý strom,1,1,Trutnov,24.12.2003,,MÚ Trutnov
101245,Magnolia v Žacléři,Jednotlivý strom,1,1,Trutnov,08.11.2003,,MÚ Žacléř
101247,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,20.12.1996,,MÚ Dvůr Králové nad Labem
101248,Lípa srdčitá (Tilia cordata),Jednotlivý strom,1,1,Trutnov,27.12.1996,,MÚ Dvůr Králové nad Labem
101250,Dub letní - Quercus robur 4ks,Skupina stromů,4,3,Trutnov,12.09.2002,,MÚ Dvůr Králové nad Labem
101251,Lípa velkolistá - Tilia platyphyllos 2 ks,Skupina stromů,2,2,Trutnov,18.09.2002,,MÚ Dvůr Králové nad Labem
101252,Lípa srdčitá - Tilia cordata,Jednotlivý strom,1,1,Trutnov,19.09.2002,,MÚ Dvůr Králové nad Labem
101254,Dub letní - Quercus robur,Jednotlivý strom,1,1,Trutnov,13.09.2002,,MÚ Dvůr Králové nad Labem
101255,Dub - Quercus Robur,Jednotlivý strom,1,1,Trutnov,04.05.2002,,MÚ Dvůr Králové nad Labem
101256,Lípa srdčitá (Tilia cordata) 3 ks,Skupina stromů,3,3,Trutnov,07.02.2002,,MÚ Dvůr Králové nad Labem
