Název organizace,Ulice,Číslo popisné,Město,PSČ,IČO,Telefon
Barevné domky Hajnice,Hajnice,46,Hajnice,54466,194972,+420499300911
"Centrum investic, rozvoje a inovací",Soukenická,54,Hradec Králové,50003,71218840,+420495817877
Česká lesnická akademie Trutnov - střední škola a vyšší odborná škola,Lesnická,9,Trutnov,54101,60153296,+420603490143
"Dětský domov a školní jídelna, Nechanice, Hrádecká 267",Hrádecká,267,Nechanice,50315,62690540,+420495441213
"Dětský domov a školní jídelna, Sedloňov 153",Sedloňov,153,Sedloňov,51791,70835144,+420494660379
"Dětský domov a školní jídelna, Vrchlabí, Žižkova 497",Žižkova,497,Vrchlabí,54301,60153423,+420499421516
"Dětský domov, mateřská škola a školní jídelna, Broumov, třída Masarykova 246",třída Masarykova,246,Broumov,550001,48623741,+420491522120
"Dětský domov, Potštejn, Českých bratří 141",Českých bratří,141,Potštejn,51743,60884681,+420494546565
"Dětský domov, základní škola a školní jídelna, Dolní Lánov 240",Dolní Lánov,240,Dolní Lánov,54341,60153270,+420499522209
"Dětský domov, Základní škola speciální a Praktická škola, Jaroměř",Palackého ,142,Jaroměř,55101,48623733,+420491812388
Domečky Rychnov nad Kněžnou,Jiráskova,1612,Rychnov nad Kněžnou,51601,42886210,+420494539570
Domov bez bariér,Strozziho,1333,Hořice,50801,13583212,+420493622827
Domov Dědina,Nádražní,709,Opočno,51773,42886163,+420493814563
Domov Dolní zámek,náměstí Aloise Jiráska,44,Teplice nad Metují,54957,71194011,+420491581170
Domov důchodců Albrechtice nad Orlicí,1. máje,104,Albrechtice nad Orlicí,51722,42886171,+420606651460
Domov důchodců Borohrádek,Rudé armády,1,Borohrádek,51724,42886180,+420494381234
Domov důchodců Černožice,Revoluční,84,Černožice,50304,579017,+420495705210
Domov důchodců Dvůr Králové nad Labem,Roháčova ,2968,Dvůr Králové nad Labem,54401,194964,+420499321893
Domov důchodců Humburky,Humburky,100,Humburky,50401,61222836,+420495493843
Domov důchodců Lampertice,Lampertice,204,Lampertice,54101,195022,+420499879247
Domov důchodců Malá Čermná,Malá Čermná,42,Hronov,54931,71193961,+420491482580
Domov důchodců Náchod,Bartoňova,903,Náchod,54701,71193987,+420491401400
Domov důchodců Police nad Metují,Na Sibiři,149,Police nad Metují,54954,71194002,+420491426544
Domov důchodců Tmavý Důl,Tmavý Důl,633,Malé Svatoňovice,54234,194913,+420499859007
"Domov mládeže, internát a školní jídelna, Hradec Králové, Vocelova 1469/5",Vocelova,1469,Hradec Králové,50002,528315,+420495540060
Domov na Stříbrném vrchu,Stříbrný vrch,199,Rokytnice v Orlických horách,51761,70188653,+420494595117
Domov pro seniory Pilníkov,Trutnovská,176,Pilníkov,54242,195031,+420499829123
Domov pro seniory Vrchlabí,Žižkova,590,Vrchlabí,54301,194891,+420499405254
Domov sociálních služeb Chotělice,Chotělice,89,Smirady,50353,579025,+420495496321
Domov sociálních služeb Skřivany,Dr. Vojtěcha,93,Skřivany,50352,578991,+420495491336
Domov U Biřičky,K Biřičce,1240,Hradec Králové,50008,579033,+420495405318
Domov V Podzámčí,Palackého ,165,Chlumec nad Cidlinou,50351,64809234,+420495484521
Domovy Na Třešňovce,Riegrova,837,Česká Skalice,55203,71193952,+420491401800
Galerie moderního umění v Hradci Králové,Velké náměstí,139,Hradec Králové,50002,88404,+420495512538
Galerie výtvarného umění v Náchodě,Smiřických,272,Náchod,54701,371041,+420491423003
"Gymnázium a Střední odborná škola pedagogická, Nová Paka, Kumburská 740",Kumburská,740,Nová Paka,50901,60117001,+420493721322
"Gymnázium Boženy Němcové, Hradec Králové, Pospíšilova tř. 324",Pospíšilova,324,Hradec Králové,50003,62690043,+420495511624
"Gymnázium Františka Martina Pelcla, Rychnov nad Kněžnou, Hrdinů odboje 36",Hrdinů odboje ,36,Rychnov nad Kněžnou,51601,60884703,+420733124931
"Gymnázium J. K. Tyla, Hradec Králové, Tylovo nábř. 682",Tylovo nábřeží,682,Hradec Králové,50002,62690060,+420728941550
"Gymnázium Jaroslava Žáka, Jaroměř",Lužická,423,Jaroměř,55101,48623695,+420491810167
