OBOR,OBOR_NAZEV,DELKA VZDELAVANI,DRUH VZDELAVANI,FORMA VZDELAVANI,1. ROCNIK,2. ROCNIK,3. ROCNIK,4. ROCNIK,5. ROCNIK,6. ROCNIK,7. ROCNIK,8. ROCNIK,ZACI_CELKEM
  1601M01 ,Ekologie a životní prostředí,40,41,10,13,10,11,21,0,0,0,0,55
  1602M01 ,Průmyslová ekologie,40,41,10,9,15,8,5,0,0,0,0,37
  1820M01 ,Informační technologie,40,41,10,309,250,269,214,0,0,0,0,1042
  2142M01 ,Geotechnika,40,41,10,2,10,2,0,0,0,0,0,14
  2341M01 ,Strojírenství,40,41,10,138,133,136,166,0,0,0,0,573
  2343L51 ,Provozní technika,20,43,10,40,29,0,0,0,0,0,0,69
  2344L01 ,Mechanik strojů a zařízení,40,41,10,12,12,26,20,0,0,0,0,70
  2345L01 ,Mechanik seřizovač,40,41,10,25,25,30,40,0,0,0,0,120
  2345M01 ,Dopravní prostředky,40,41,10,31,23,23,21,0,0,0,0,98
  2351E01 ,Strojírenské práce,30,21,10,22,24,29,0,0,0,0,0,75
  2351H01 ,Strojní mechanik,30,21,10,54,26,28,0,0,0,0,0,108
  2352H01 ,Nástrojař,30,21,10,51,66,69,0,0,0,0,0,186
  2355H01 ,Klempíř,30,21,10,0,5,7,0,0,0,0,0,12
  2355H02 ,Karosář,30,21,10,18,26,23,0,0,0,0,0,67
  2356H01 ,Obráběč kovů,30,21,10,40,30,50,0,0,0,0,0,120
  2361H01 ,Autolakýrník,30,21,10,23,20,15,0,0,0,0,0,58
  2368H01 ,Mechanik opravář motorových vozidel,30,21,10,132,102,97,0,0,0,0,0,331
  2641L01 ,Mechanik elektrotechnik,40,41,10,33,43,37,23,0,0,0,0,136
  2641L52 ,Provozní elektrotechnika,20,43,10,18,9,0,0,0,0,0,0,27
  2641M01 ,Elektrotechnika,40,41,10,111,81,76,107,0,0,0,0,375
  2651H01 ,Elektrikář,10,22,10,9,0,0,0,0,0,0,0,9
  2651H01 ,Elektrikář,30,21,10,103,73,68,0,0,0,0,0,244
  2651H02 ,Elektrikář - silnoproud,30,21,10,45,45,39,0,0,0,0,0,129
  2652H01 ,Elektromechanik pro zařízení a přístroje,30,21,10,32,23,22,0,0,0,0,0,77
  2657H01 ,Autoelektrikář,30,21,10,23,44,20,0,0,0,0,0,87
  2844M01 ,Aplikovaná chemie,40,41,10,19,19,9,15,0,0,0,0,62
  2852H01 ,Chemik,30,21,10,6,3,8,0,0,0,0,0,17
  2941L51 ,Technologie potravin,20,43,10,6,9,0,0,0,0,0,0,15
  2951E01 ,Potravinářská výroba,30,21,10,37,20,9,0,0,0,0,0,66
  2951E02 ,Potravinářské práce,20,21,10,10,11,0,0,0,0,0,0,21
  2951H01 ,Výrobce potravin,30,21,10,15,0,0,0,0,0,0,0,15
  2953H01 ,Pekař,30,21,10,22,22,13,0,0,0,0,0,57
  2954H01 ,Cukrář,30,21,10,90,69,60,0,0,0,0,0,219
  2956H01 ,Řezník - uzenář,30,21,10,7,8,3,0,0,0,0,0,18
  3158H01 ,Krejčí,30,21,10,6,4,3,0,0,0,0,0,13
  3159E02 ,Šití prádla,20,21,10,0,4,0,0,0,0,0,0,4
  3241E01 ,Kožedělná výroba,30,21,10,2,2,2,0,0,0,0,0,6
  3342L51 ,Nábytkářská a dřevařská výroba,20,43,10,6,0,0,0,0,0,0,0,6
  3342M01 ,Nábytkářská a dřevařská výroba,40,41,10,9,0,11,0,0,0,0,0,20
